# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	5015
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
a 	啊	c=9 d=1.71725 t=5015
bu xian zhi 	不限制	c=1 d=0.0114473 t=5015
bu xiang yong jiu shan diao pei zhi wen jian 	不想用就刪掉配置文件	c=1 d=0.0555762 t=5015
bu xie 	不寫	c=2 d=0.127859 t=5015
bu xu yao 	不需要	c=3 d=0.331993 t=5015
bu xu yao de hua 	不需要的話	c=1 d=0.00914087 t=5015
bu yan chi jia zai 	部延遲加載	c=1 d=0.11475 t=5015
bu yao 	不要	c=1 d=0.22245 t=5015
bu yao shi yong 	不要使用	c=1 d=0.99005 t=5015
bu yao ye ba 	不要也罷	c=1 d=0.398519 t=5015
bu yi nuo si ai li si 	布宜諾斯艾利斯	c=1 d=0.0632918 t=5015
bu yi zhi 	不一致	c=1 d=0.200403 t=5015
bu yong 	不用	c=1 d=0.161666 t=5015
bu yong an zhuang 	不用安裝	c=1 d=0.128093 t=5015
bu yong guan bi 	不用關閉	c=1 d=0.0248475 t=5015
bu yong xie 	不用寫	c=2 d=0.0252394 t=5015
bu yong zhan wei fu 	不用佔位符	c=1 d=0.0169922 t=5015
bu yu 	不予	c=0 d=0.0344728 t=5015
bu yun xu 	不允許	c=1 d=0.99005 t=5015
bu zheng que 	不正確	c=1 d=0.0706512 t=5015
bu zhi chi quan wen suo yin 	不支持全文索引	c=1 d=0.100761 t=5015
bu zhi chi shi wu 	不支持事物	c=1 d=0.0997588 t=5015
bu zhi dao 	不知道	c=1 d=0.154242 t=5015
bu zhou 	步驟	c=0 d=0.0597501 t=5015
bu zu 	不足	c=0 d=1.62164e-12 t=5015
cai 	才	c=1 d=0.0435067 t=5015
cai hong 	彩虹	c=0 d=0.0701173 t=5015
cai hui 	纔會	c=1 d=0.114902 t=5015
cai hui bei chuang jian 	纔會被創建	c=1 d=0.116484 t=5015
cai ke yi 	纔可以	c=0 d=0.00167392 t=5015
cai ke yi shi yong 	纔可以使用	c=1 d=0.0168231 t=5015
