# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	173558
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
an zhao gong shi ji suan 	按照公式計算	c=1 d=5.38385e-40 t=131593
an zhao li min 	按照麗敏	c=1 d=1 t=167022
an zhao mu lu 	按照目錄	c=1 d=0.0173355 t=173558
an zhao na ge xue zhang 	按照那個學長	c=1 d=4.96839e-07 t=173558
an zhao ni shi jian 	按照你時間	c=1 d=1 t=150554
an zhao shi jian 	按照時間	c=1 d=7.08823e-11 t=131593
an zhao shou kuan fang shi hui zong 	按照收款方式彙總	c=1 d=3.08002e-58 t=173558
an zhao shu xing dao hang 	按照屬性導航	c=1 d=0.0629762 t=173558
an zhao xiao qu 	按照小區	c=1 d=3.17166e-50 t=173558
an zhao ying xiong 	按照英雄	c=1 d=2.30599e-06 t=173558
an zhao zhe ge 	按照這個	c=3 d=8.93312e-56 t=173558
an zhao zheng chang de 	按照正常的	c=1 d=3.87259e-193 t=131593
an zhao zhi qian 	按照之前	c=1 d=7.76236e-21 t=173558
an zhao zui di biao zhun 	按照最低標準	c=1 d=4.66032e-48 t=131593
an zhe 	按着	c=0 d=9.67054e-49 t=131593
an zhu 	按住	c=1 d=1 t=151403
an zhuan 	暗轉	c=2 d=5.46818e-17 t=173558
an zhuang 	安裝	c=178 d=1.16458 t=173558
an zhuang bao 	安裝包	c=18 d=0.0874292 t=173558
an zhuang bao shang chuan 	安裝包上傳	c=1 d=0.0328764 t=173558
an zhuang bu liao 	安裝不了	c=1 d=2.75449e-38 t=173558
an zhuang bu shang 	安裝不上	c=1 d=3.94205e-20 t=173558
an zhuang chan pin 	安裝產品	c=8 d=0.000125974 t=173558
an zhuang chan pu ning 	安裝產普寧	c=1 d=1.5639e-55 t=173558
an zhuang cheng gong zhi hou 	安裝成功之後	c=1 d=2.37655e-37 t=173558
an zhuang de 	安裝的	c=3 d=0.0152573 t=173558
an zhuang geng xin 	安裝更新	c=1 d=0.559898 t=173558
an zhuang guo 	安裝過	c=1 d=0.038868 t=173558
an zhuang guo de 	安裝過的	c=1 d=0.390628 t=173558
an zhuang hao 	安裝好	c=1 d=0.000788798 t=173558
an zhuang hao de 	安裝好的	c=1 d=0.00164502 t=173558
an zhuang hao le 	安裝好了	c=4 d=0.0102284 t=173558
an zhuang hao le zhi hou 	安裝好了之後	c=2 d=0.102797 t=173558
an zhuang hou 	安裝後	c=3 d=1.40586e-37 t=173558
an zhuang jia ge 	安裝價格	c=1 d=2.28857e-05 t=173558
an zhuang jiao cheng 	安裝教程	c=1 d=0.00047367 t=131593
an zhuang jin du 	安裝進度	c=1 d=3.35166e-23 t=173558
an zhuang kai 	安裝開	c=1 d=9.42085e-05 t=173558
an zhuang le 	安裝了	c=2 d=0.0304286 t=173558
an zhuang lu jing 	安裝路徑	c=1 d=0.00634836 t=173558
an zhuang mu lu 	安裝目錄	c=1 d=3.56074e-29 t=131593
an zhuang pan 	安裝盤	c=21 d=7.69454e-06 t=173558
an zhuang pan ba 	安裝盤吧	c=1 d=1 t=168495
an zhuang ri qi 	安裝日期	c=2 d=0.0237541 t=173558
an zhuang ruan jian 	安裝軟件	c=2 d=3.02488e-22 t=173558
an zhuang shang 	安裝上	c=1 d=5.26272e-37 t=173558
an zhuang shi 	安裝時	c=1 d=1 t=158618
an zhuang shi bai 	安裝失敗	c=1 d=1.48793e-28 t=131593
an zhuang shu ju ku 	安裝數據庫	c=1 d=3.39863e-69 t=131593
an zhuang wan 	安裝完	c=3 d=3.83023e-05 t=173558
an zhuang wan cheng 	安裝完成	c=1 d=3.1723e-23 t=173558
an zhuang wan cheng hou 	安裝完成後	c=1 d=1.5258e-59 t=173558
an zhuang wen jian 	安裝文件	c=3 d=1.22899e-15 t=173558
an zhuang wen jian chong tu 	安裝文件衝突	c=1 d=1.23515e-14 t=173558
an zhuang xiao fang shu ju cai ji 	安裝消防數據採集	c=1 d=3.08389e-14 t=173558
an zhuang yan shi ban 	安裝演示版	c=1 d=0.149569 t=173558
